time,open,high,low,close,Volume
1635724800,61356.75,61566.965,61141.89,61562.6,2.37930799
1635725700,61571.7,61671.681,61521.43,61550.375,3.52385006
1635726600,61616.02,61620.15,61425.675,61425.675,2.11800875
1635727500,61419.857,61576.5,61409.06,61563.53,1.84996756
1635728400,61660.79,61754.96,61641.43,61752,0.91198898
1635729300,61759.278,61765.741,61659.48,61659.48,2.73873166
1635730200,61671.196,61671.196,61400.571,61403.768,1.53641931
1635731100,61401.167,61452.39,61329.32,61368.421,1.78632467
1635732000,61356.358,61428.46,61186.501,61259.79,0.96473463
1635732900,61242.89,61276.841,60083.6,60239.822,9.54086901
1635733800,60185.53,60632.32,60065.96,60435.85,5.34950847
1635734700,60424.53,60660.29,60424.53,60575.309,0.1815813
1635735600,60537.66,60643.508,60378.763,60384.911,0.64620031
1635736500,60351.22,60441.856,60292.2,60374.52,0.20735237
1635737400,60428.5,60460.968,60322.91,60342.995,0.58072821
1635738300,60341.114,60341.114,59792.474,59979.09,6.00593403
1635739200,59922.529,60273.765,59500,60223.563,5.4714009
1635740100,60240.28,60374.616,60214.283,60299,0.68808953
1635741000,60307.665,60737.6,60307.665,60678.44,1.37705688
1635741900,60659.01,60709.6,60516.47,60580.551,1.42610612
1635742800,60524.57,60857.79,60492.323,60853.785,2.30564112
1635743700,60722.983,60888.449,60672.21,60694.56,1.37097052
1635744600,60723.61,60799.371,60701.59,60784.706,0.45777047
1635745500,60784.706,60797.912,60626.758,60667.81,0.61366437
1635746400,60613.47,60623.24,60457.79,60457.79,0.48809286
1635747300,60457.79,60653.577,60322.597,60653.577,0.1672054
1635748200,60681.054,60941.491,60661.62,60860.616,1.7593183
1635749100,60860.698,60860.698,60702.799,60730.63,0.67443739
1635750000,60775,62171.828,60775,62118.86,5.74110494
1635750900,62189.284,62326.45,61954.724,62075.393,5.33585122
1635751800,62099.031,62185.91,61987.131,62015.817,2.11774461
1635752700,62080,62207.582,62071.1,62126.235,1.75546217
1635753600,62220.83,62434.36,62123.19,62152.059,2.41337932
1635754500,62162.634,62214.319,62126.876,62160.596,0.50746819
1635755400,62100.795,62200.881,61767.708,61829.115,1.79469961
1635756300,61859.052,61938.793,61700,61906.828,3.96085239
1635757200,61952.406,62134.258,61886.396,62079.634,1.17001377
1635758100,62162.949,62187.704,61958.42,62064.999,0.80782768
1635759000,62084.488,62210.97,62000,62136.48,1.61499661
1635759900,62192.719,62192.719,61947.219,61947.219,0.51866623
1635760800,62017.447,62094.989,62003.846,62003.846,0.44765604
1635761700,61998.199,62075.924,61927.297,62045.396,2.16026779
1635762600,62087.601,62134.085,62041.217,62041.217,0.28009427
1635763500,62047.883,62303.106,62036.664,62303.106,1.35483857
1635764400,62319.723,62471.883,62201.609,62257.29,4.41393465
1635765300,62201.544,62255.46,62094.985,62179.285,1.58726467
1635766200,62159.542,62170.7,61847.525,61933.6,1.66062448
1635767100,61950.899,62076.7,61832.91,61860.442,0.79188642
1635768000,61887.2,62220.54,61827.099,62085.498,2.55793613
1635768900,62073.469,62073.469,61721.834,61870.343,2.50428957
1635769800,61874.203,61913.028,61829.343,61846.305,0.33414172
1635770700,61853.516,62012.4,61666.74,61900.06,2.40511651
1635771600,61900.06,61936.2,61767.44,61823.286,0.7254849
1635772500,61854.458,61898.579,61758.201,61897.749,0.21480878
1635773400,61909.2,62029.585,61797.333,61951.172,1.92562358
1635774300,61937.071,62103.14,61849.218,61991.8,1.97932725
1635775200,62000,62025.7,61782.165,61794.14,0.21454581
1635776100,61808.284,61921.289,61771.463,61780.617,0.58444975
1635777000,61790.322,61790.322,61701.517,61701.517,1.31411563
1635777900,61732.31,61793.108,61327.99,61489,3.06686422
1635778800,61518.5,61557.118,61445.597,61477.699,0.85954996
1635779700,61512.5,61608.2,61468.198,61504.658,1.83122309
1635780600,61512.355,61632.487,61508.148,61508.148,4.695285
1635781500,61500.71,61629.252,61448.35,61586.249,1.94751699
1635782400,61597.206,61597.206,61416.594,61451.555,1.25113485
1635783300,61425.15,61528.978,61346.58,61371.692,0.71103775
1635784200,61342.22,61440.925,61082.668,61155.922,1.10580836
1635785100,61149.78,61193.292,61057.7,61073.417,3.17030323
1635786000,61063.573,61087.491,60740.312,60800.951,5.017573
1635786900,60802.78,61068.19,60802.78,60872.789,1.6280614
1635787800,60854.957,60954.4,60825.542,60827.55,1.62275064
1635788700,60849.96,60951.345,60746.99,60782.089,1.32013993
1635789600,60783.9,60840.15,60551.95,60819.299,1.88987651
1635790500,60751.74,60751.74,60573.47,60617.67,1.44448186
1635791400,60635.53,60792.966,60545.3,60789.557,1.10002717
1635792300,60797.6,60797.6,60558.37,60573.64,0.51223392
1635793200,60567.45,61174.51,60375,60955.755,5.18076331
1635794100,60929.169,61180.256,60929.169,61105.902,0.93428501
1635795000,61096.151,61096.887,60896.102,60933.701,1.17971638
1635795900,60916.846,61461.513,60898.764,61444.73,0.65972742
1635796800,61482.45,61482.45,61017.101,61214.654,2.89659509
1635797700,61214.91,61214.91,60952.878,60957.64,1.56231909
1635798600,60955.962,60955.962,60626.09,60747.549,3.55433261
1635799500,60762.543,60803.23,60641.839,60726.248,2.15973943
1635800400,60672.609,60672.609,60472.37,60547.156,1.96729249
1635801300,60559.625,60756.9,60559.625,60669.637,0.58390844
1635802200,60685.208,60766.645,60572.676,60703.203,0.76997837
1635803100,60731.022,60936.893,60709.655,60790.404,0.42113618
1635804000,60759.278,60962.448,60759.278,60903.21,2.97414575
1635804900,60903.21,61100.81,60875.662,61083.926,0.34737596
1635805800,61020.02,61198.401,61004.038,61198.401,1.0034239
1635806700,61170.955,61170.955,61123.463,61154.872,1.09056901
1635807600,61147.343,61210.89,61118.985,61195.568,0.65852261
1635808500,61130.974,61143.671,61064.714,61067.224,0.30308402
1635809400,61066.52,61180.249,61048.629,61180.249,0.48527415
1635810300,61182.942,61184.718,60978.185,60978.185,0.73529367
1635811200,60943.594,61298.414,60785.682,61199.66,2.1757967
1635812100,61262.359,61417.727,61258.02,61402.778,2.06586143
1635813000,61394.269,61394.269,60679.779,60682.572,2.01708058
1635813900,60756.517,60993.842,60756.517,60993.842,0.64467785
1635814800,61000.019,61069.48,60809.104,61027.23,0.41986334
1635815700,60983.258,61586.9,60983.258,61393.954,1.70916756
1635816600,61336.71,61395.357,61223.539,61223.539,2.00274572
1635817500,61249.725,61398.61,61148.847,61381.912,0.65647156
1635818400,61381.912,61434.825,61203.333,61224.503,1.51082384
1635819300,61199.761,61330.44,61116.55,61184.219,1.93244593
1635820200,61178.649,61184.263,60965.182,60987.27,0.23396501
1635821100,60994.499,61007.406,60883.585,60954.457,0.3771068
1635822000,60983.63,61060.691,60855.168,60945.926,0.9276085
1635822900,60945.36,61048.425,60847.878,61048.425,0.35870796
1635823800,61083.37,61097.738,61010.815,61070.352,0.33641021
1635824700,61068.094,61187.163,61046.231,61134.479,0.27310761
1635825600,61134.479,61213.886,61124.518,61213.886,0.68563066
1635826500,61188.21,61467.654,61188.206,61413.331,0.8235837
1635827400,61428.29,61574.23,61415.244,61513.749,1.40757858
1635828300,61513.749,61564.866,61428.466,61481.1,0.59425392
1635829200,61486.3,61494.4,61354.44,61408.588,1.41342624
1635830100,61377.467,61516.862,61372.82,61494.68,0.76938189
1635831000,61500,61782,61500,61782,1.95719053
1635831900,61782,61824.703,61701.797,61824.703,1.08936683
1635832800,61825.25,61840.548,61603.166,61603.166,0.81592009
1635833700,61638.202,61739.6,61607.757,61675.536,0.48902051
1635834600,61675.399,61822.66,61675.399,61687.71,0.53860479
1635835500,61739.459,61815.89,61684.14,61815.89,0.42051978
1635836400,61815.89,61831.83,61691.686,61691.686,0.2368561
1635837300,61710.31,61827.97,61691.69,61691.69,0.14303216
1635838200,61700,61700,61590.87,61590.87,4.06099764
1635839100,61631.19,61680.116,61552.57,61552.57,0.99030374
1635840000,61582.252,61615.277,61419.36,61458.27,0.48853199
1635840900,61477.12,61630.8,61477.12,61506.569,0.39569509
1635841800,61491.334,61542.44,61473.75,61480.63,0.22944668
1635842700,61487.02,61817.9,61480.626,61668.901,1.67903795
1635843600,61610.784,61615.184,61554.597,61587.86,0.67757954
1635844500,61583.2,61769.255,61559.813,61769.255,0.13217989
1635845400,61693.325,62784.328,61693.325,62700.515,12.71066997
1635846300,62736.8,63212.59,62569.637,63099.77,10.46263276
1635847200,63135.9,63538.999,63072.975,63278.179,6.24005961
1635848100,63281.916,63600,63237.487,63392.18,5.33916044
1635849000,63399.68,63490.675,63051.918,63051.918,2.56294232
1635849900,63121.8,63238.6,63100,63214.019,1.31555994
1635850800,63280.847,63347.747,63118.547,63341.558,1.05998274
1635851700,63341.558,63395.817,63248.192,63279.375,1.21020744
1635852600,63298.5,63323.097,63149.339,63192.093,0.40039075
1635853500,63195.955,63229.823,62962,62962,0.6418338
1635854400,62962.001,63305.308,62962.001,63198.112,4.70400164
1635855300,63225.342,63259.62,63089.446,63089.446,1.9404511
1635856200,63118.129,63208.019,63118.129,63149.021,1.1664248
1635857100,63169.456,63177.083,63017.531,63057.05,0.62194994
1635858000,63061.447,63212.185,63061.447,63143.392,1.30770881
1635858900,63137.257,63319.09,63127.712,63279.862,1.03973305
1635859800,63229.76,63275.28,63155.211,63251.977,0.83966232
1635860700,63243.29,63494.99,63185.803,63437.62,1.36476308
1635861600,63478.28,63911.64,63222.89,63240.07,8.41067709
1635862500,63209.167,63444.939,63070.684,63416.79,2.45897344
1635863400,63416.79,63513.592,63342.58,63369.86,0.89373683
1635864300,63367.186,63418.54,63283.31,63398.6,0.46253781
1635865200,63386.55,63500.67,63370.62,63456.22,3.36097027
1635866100,63444.12,63615.79,63408.41,63477.85,1.8786366
1635867000,63452.93,64003.595,63388.83,63958.13,5.12433115
1635867900,64000.49,64280,63995.18,64064.28,3.65494636
1635868800,64062.74,64286.132,63798.93,63798.93,4.12974398
1635869700,63809.98,63924.46,63682.007,63855.96,1.74058888
1635870600,63781.8,63912.25,63705.21,63741.14,0.77626018
1635871500,63743.31,63845.984,63699.09,63718.84,1.94770321
1635872400,63724.6,63816.964,63623.7,63774.368,1.42259389
1635873300,63774.275,63788.87,63576.733,63647,1.55585432
1635874200,63615.502,63639.129,63510.81,63516.779,2.17753526
1635875100,63524.18,63543.099,63444.906,63478.6,1.66013343
1635876000,63480.83,63549.34,63393.463,63415.678,4.07840275
1635876900,63383.034,63423.555,63293.919,63393.914,1.3638864
1635877800,63412.87,63480.02,63330.74,63379.357,2.96215015
1635878700,63357.97,63404.701,63272.91,63282.74,0.68069107
1635879600,63288.07,63457.283,63288.07,63349.66,1.05564644
1635880500,63349.66,63474.51,63282.991,63474.51,0.77902383
1635881400,63524.08,63698.999,63434.545,63523.97,0.83630819
1635882300,63542.076,63670.51,63425.72,63670.3,1.09642669
1635883200,63607.68,63607.68,63393.24,63428.896,1.89295079
1635884100,63428.899,63429.66,63063.566,63182.128,2.74396547
1635885000,63182.106,63255,63123.26,63255,3.05243985
1635885900,63296.083,63296.083,63100,63124.36,0.81628141
1635886800,63120.18,63139.48,63000,63037.836,4.70576041
1635887700,63038.958,63219.337,62979.496,63092.056,2.05466584
1635888600,63072.86,63192.9,63047.68,63121.87,1.21519141
1635889500,63118.495,63132.3,63050.74,63067.441,0.76203524
1635890400,63035.99,63154,62973.25,63009.4,1.26975492
1635891300,63031.08,63225.098,62997.973,63133.298,1.01292949
1635892200,63149.76,63214.5,63036.14,63054.901,0.93166067
1635893100,63066.944,63066.944,62976.058,62976.058,1.122937
1635894000,62993.69,63044.037,62780,62864.747,2.85991559
1635894900,62820.233,62823.66,62666,62781.7,1.02421195
1635895800,62797.697,63096.374,62780.66,63095.821,0.92923944
1635896700,63116.294,63280.97,63086.459,63232.443,1.73758677
1635897600,63289.37,63396.2,63131.57,63145.871,1.94024302
1635898500,63154.59,63190.55,62912.133,62978.09,0.7072952
1635899400,62991.58,63188.503,62991.58,63070.4,0.99221238
1635900300,63087.8,63552.89,63086.71,63552.89,1.97216882
1635901200,63553.46,63553.46,63287.19,63373.3,0.96793289
1635902100,63373.3,63373.3,63221.33,63238.975,0.688268
1635903000,63244.74,63296.2,63210.547,63228.936,2.85875627
1635903900,63210.547,63227.79,63069.41,63184.01,1.19452258
1635904800,63150,63150,62792.314,62925.37,2.33120666
1635905700,62914.79,63027.49,62914.787,62987.8,0.5749318
1635906600,62987.47,63124.22,62987.47,63108.12,0.56197674
1635907500,63114.874,63259.5,63094.86,63213.16,1.01464953
1635908400,63193.12,63195.58,63034.595,63065.923,1.52032047
1635909300,63045.684,63146.94,63000.079,63146.94,6.5016282
1635910200,63092.56,63223.62,63001.705,63122.875,1.67217076
1635911100,63101.37,63289.708,63070.174,63254.3,0.67777489
1635912000,63243.388,63262.1,63106.25,63106.25,0.44799531
1635912900,63057.31,63128.24,62925.4,63034.12,1.15462157
1635913800,63018.59,63032.233,62867.251,62867.251,0.76360851
1635914700,62881.845,62961.108,62793.205,62836.29,0.67705961
1635915600,62858.84,62993.1,62844.29,62943.567,0.26017217
1635916500,62967.99,63084.157,62942.34,63027.749,0.77254647
1635917400,63027.749,63234.066,63027.749,63217.142,0.26307681
1635918300,63223.986,63226.534,63080.4,63130.136,0.18311673
1635919200,63065.459,63107.181,62888.67,62970.13,1.15313826
1635920100,63008.772,63071,62998.989,63020.005,0.36563863
1635921000,63020.005,63159.69,63020.005,63129.8,0.76947575
1635921900,63124.69,63124.69,62894.361,62895.4,1.07667351
1635922800,62849.168,62993.115,62849.154,62993.115,0.9709806
1635923700,62940.872,63144.753,62940.872,63125.259,0.17893373
1635924600,63130.279,63130.279,62970.775,62978.586,0.3784181
1635925500,62978.189,63557.724,62978.189,63398.72,0.51531487
1635926400,63440.45,63440.45,63222.3,63285.147,0.42572109
1635927300,63287.25,63287.25,62955.903,63027.033,0.93580016
1635928200,63058.11,63090.12,62953.13,63050.696,0.18364942
1635929100,63050,63087.598,62971.197,62988.59,1.59157574
1635930000,63009.385,63057.913,62920.642,63028.087,1.2524748
1635930900,63028.087,63365.52,63028.087,63331.4,1.5527864
1635931800,63240.407,63338.15,63194.983,63200.676,0.44711722
1635932700,63181.796,63351.472,63180.349,63351.472,0.32590271
1635933600,63351.472,63434.2,63244.51,63432.472,0.66500628
1635934500,63392.273,63434.7,63268.616,63298.383,1.7238335
1635935400,63291.696,63301.3,63169.178,63177.462,6.84012792
1635936300,63177.462,63233.344,63156.45,63156.45,0.12971405
1635937200,63176.627,63235.639,62997.832,62997.832,1.08300802
1635938100,62957.332,63116.329,62957.332,63078.297,8.3277599
1635939000,63106.17,63221.03,63017.104,63150,0.41194567
1635939900,63169.391,63209.031,63150,63157.476,0.37260031
1635940800,63157.476,63190.38,62901.416,62938.224,1.53648415
1635941700,62909.593,63028.083,62742.458,62742.458,2.62923909
1635942600,62733.025,62878.664,62443.554,62626.599,5.5008712
1635943500,62602.527,62611.768,62306.654,62517.1,5.15554364
1635944400,62494.985,62718.742,62494.985,62631.413,2.31109643
1635945300,62611.958,62663.443,62414.81,62493.01,0.60674071
1635946200,62473.545,62542.327,62050,62067.649,4.14684842
1635947100,62112.017,62112.017,61748.466,61971.501,3.40646613
1635948000,61880.02,62021.56,61649.213,62021.56,4.5375484
1635948900,61971.545,62088.633,61950,62043.084,1.13457772
1635949800,62056.147,62056.147,61819.133,61914.184,4.53807524
1635950700,61914.184,62120.162,61900.633,62010.867,2.11487411
1635951600,61996.27,61996.27,61775,61905.667,0.81772798
1635952500,61850.625,62108.863,61822.128,62093.102,1.7401042
1635953400,62105.88,62122.499,61953.408,62097.241,0.96478669
1635954300,62104.024,62244.071,61986.534,62244.07,0.98489545
1635955200,62230,62546.73,62199.96,62498.867,7.91654411
1635956100,62500.623,62517.004,62404.529,62404.529,1.30838291
1635957000,62397.789,62440.303,62182.304,62268.057,3.62425669
1635957900,62284.035,62330.298,62057.645,62186.213,2.25773898
1635958800,62152.76,62276.452,62132.94,62227.15,0.83000467
1635959700,62240.737,62690.859,62240.737,62690.859,2.07943241
1635960600,62690.859,62690.859,62520.995,62543.265,0.75602713
1635961500,62538.951,62547.467,62344.968,62544.069,1.0849384
1635962400,62500.85,62718.068,60476.935,62442.305,28.89647969
1635963300,62539.658,62555.967,62247.277,62247.277,1.32298709
1635964200,62305.712,62810.74,62196.598,62810.74,1.66608268
1635965100,62834.2,63212.59,62834.2,63175.581,2.35768596
1635966000,63188.615,63370.622,63123.31,63198.766,7.44695018
1635966900,63216.557,63216.557,62895.73,63056.852,1.3809668
1635967800,63020.611,63085.51,62913.978,62988.283,1.37426506
1635968700,63026.076,63026.076,62842.91,62842.91,1.20644236
1635969600,62824.852,63053.497,62815.344,62933.222,0.78296492
1635970500,62953.451,62977.302,62839.41,62855.065,0.769713
1635971400,62853.824,62868.183,62773.046,62831.457,1.08136689
1635972300,62806.363,62876.892,62753.341,62755.041,0.90652573
